service_name,service_id,sku_name,sku_id,sku_resource_family,sku_resource_group,sku_usage_type,sku_region,sku_vm_family
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Madrid to Sao Paulo,339F-C8B4-176F,Network,VPNInterregionIngress,OnDemand,southamerica-east1,
Compute Engine,6F81-5844-456A,On-demand fee for total VM network bandwidth up to 50 Gbps in Hong Kong,33A2-CD70-8193,Network,AdvancedNetworking,OnDemand,asia-east2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Melbourne to Paris,33A4-DD7F-48D0,Network,InterregionIngress,OnDemand,australia-southeast2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Melbourne to Paris,33A4-DD7F-48D0,Network,InterregionIngress,OnDemand,europe-west9,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Salt Lake City to Warsaw,33A8-A569-3F47,Network,VPNInterregionEgress,OnDemand,us-west3,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from Salt Lake City to Warsaw,33A8-A569-3F47,Network,VPNInterregionEgress,OnDemand,europe-central2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Dallas to Los Angeles,33AB-CBC3-7D0B,Network,InterregionIngress,OnDemand,us-south1,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Dallas to Los Angeles,33AB-CBC3-7D0B,Network,InterregionIngress,OnDemand,us-west2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Virginia to Frankfurt,33B0-8926-F711,Network,InterregionIngress,OnDemand,us-east4,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Virginia to Frankfurt,33B0-8926-F711,Network,InterregionIngress,OnDemand,europe-west3,
Compute Engine,6F81-5844-456A,Commitment v1: Cpu in Mumbai for 1 Year,33B1-F2C6-B3A2,Compute,CPU,Commit1Yr,asia-south1,N1
Compute Engine,6F81-5844-456A,Internal HTTP(S) Load Balancing: Data Processing Charge in Virginia,33BB-9F57-A244,Network,L7InternalLoadBalancing,OnDemand,us-east4,
Compute Engine,6F81-5844-456A,Network Load Balancing: Data Processing Charge in Dallas,33BD-F664-544E,Network,LoadBalancing,OnDemand,us-south1,
Compute Engine,6F81-5844-456A,Licensing Fee for Ubuntu 18.10 (Cosmic Cuttlefish) (RAM cost),33CA-B037-397E,License,Canonical,OnDemand,global,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Madrid to Singapore,33D6-BD7F-3624,Network,InterregionIngress,OnDemand,europe-southwest1,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Madrid to Singapore,33D6-BD7F-3624,Network,InterregionIngress,OnDemand,asia-southeast1,
Compute Engine,6F81-5844-456A,Sole Tenancy Premium for Memory-optimized Sole Tenancy Instance RAM running in Zurich,33DA-BE5C-F63E,Compute,RAM,OnDemand,europe-west6,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Osaka to Melbourne,33DA-D7C3-EC24,Network,VPNInterregionIngress,OnDemand,asia-northeast2,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Osaka to Melbourne,33DA-D7C3-EC24,Network,VPNInterregionIngress,OnDemand,australia-southeast2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Warsaw to London,33DE-C144-3C08,Network,InterregionIngress,OnDemand,europe-central2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Warsaw to London,33DE-C144-3C08,Network,InterregionIngress,OnDemand,europe-west2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Seoul to Toronto,33E4-02E6-FE53,Network,InterregionIngress,OnDemand,asia-northeast3,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Seoul to Toronto,33E4-02E6-FE53,Network,InterregionIngress,OnDemand,northamerica-northeast2,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from EMEA to Columbus,33F0-A697-D48C,Network,VPNInterregionIngress,OnDemand,europe-west1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from EMEA to Columbus,33F0-A697-D48C,Network,VPNInterregionIngress,OnDemand,us-east5,
Compute Engine,6F81-5844-456A,Internal HTTP(S) Load Balancing: Data Processing Charge in APAC,33F2-F70B-3836,Network,L7InternalLoadBalancing,OnDemand,asia-east1,
Compute Engine,6F81-5844-456A,On-demand fee for total VM network bandwidth up to 50 Gbps in Tokyo,33F8-C644-BB7C,Network,AdvancedNetworking,OnDemand,asia-northeast1,
Compute Engine,6F81-5844-456A,Compute-optimized Sole Tenancy Instance Core running in Japan,33F9-F00C-3712,Compute,CPU,OnDemand,asia-northeast1,C2
Compute Engine,6F81-5844-456A,Nvidia Tesla A100 GPU running in Sydney,33FA-EE63-E513,Compute,GPU,OnDemand,australia-southeast1,A2
Compute Engine,6F81-5844-456A,On-demand fee for total VM network bandwidth up to 50 Gbps in Osaka,33FB-9658-A3E9,Network,AdvancedNetworking,OnDemand,asia-northeast2,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Seoul to Singapore,3400-36CC-950C,Network,VPNInterregionIngress,OnDemand,asia-northeast3,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Seoul to Singapore,3400-36CC-950C,Network,VPNInterregionIngress,OnDemand,asia-southeast1,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from London to Milan,3403-8561-7E10,Network,InterregionIngress,OnDemand,europe-west2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from London to Milan,3403-8561-7E10,Network,InterregionIngress,OnDemand,europe-west8,
Compute Engine,6F81-5844-456A,Network Internet Ingress from Australia to Jakarta,3408-15BF-0A76,Network,PremiumInternetIngress,OnDemand,asia-southeast2,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Madrid to Osaka,3410-9855-2A47,Network,VPNInterregionIngress,OnDemand,europe-southwest1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Ingress from Madrid to Osaka,3410-9855-2A47,Network,VPNInterregionIngress,OnDemand,asia-northeast2,
Compute Engine,6F81-5844-456A,Commitment v1: E2 Cpu in Sydney for 3 Year,341B-EC49-F9A3,Compute,CPU,Commit3Yr,australia-southeast1,E2
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Seoul to Melbourne,341D-2F33-B4D9,Network,InterregionEgress,OnDemand,asia-northeast3,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Seoul to Melbourne,341D-2F33-B4D9,Network,InterregionEgress,OnDemand,australia-southeast2,
Compute Engine,6F81-5844-456A,T2D AMD Instance Ram running in Santiago,3420-0CE5-7383,Compute,RAM,OnDemand,southamerica-west1,T2D
Compute Engine,6F81-5844-456A,Licensing Fee for Bitnami ReportServer on g1-small,3425-33E8-7F03,License,BitnamiReportServer,OnDemand,global,
Compute Engine,6F81-5844-456A,Reserved Nvidia Tesla A100 GPU in Japan,3426-8264-8014,Compute,GPU,OnDemand,asia-northeast1,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Warsaw to Paris,342B-2C92-2180,Network,InterregionIngress,OnDemand,europe-central2,
Compute Engine,6F81-5844-456A,Network Inter Region Ingress from Warsaw to Paris,342B-2C92-2180,Network,InterregionIngress,OnDemand,europe-west9,
Compute Engine,6F81-5844-456A,Compute-optimized Sole Tenancy Instance RAM running in Zurich,3436-4113-3F1C,Compute,RAM,OnDemand,europe-west6,C2
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from APAC to Montreal,3440-AB22-4D85,Network,VPNInterregionEgress,OnDemand,asia-east1,
Compute Engine,6F81-5844-456A,Network Vpn Inter Region Egress from APAC to Montreal,3440-AB22-4D85,Network,VPNInterregionEgress,OnDemand,northamerica-northeast1,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Salt Lake City to Dallas,3449-7B78-7FA7,Network,InterregionEgress,OnDemand,us-west3,
Compute Engine,6F81-5844-456A,Network Inter Region Egress from Salt Lake City to Dallas,3449-7B78-7FA7,Network,InterregionEgress,OnDemand,us-south1,
Compute Engine,6F81-5844-456A,Licensing Fee for Bitnami Gerrit on f1-micro,344C-B785-5087,License,BitnamiGerrit,OnDemand,global,
Compute Engine,6F81-5844-456A,Commitment v1: T2D AMD Cpu in Santiago for 1 Year,345C-4989-DCD6,Compute,CPU,Commit1Yr,southamerica-west1,T2D
Compute Engine,6F81-5844-456A,Network Vpn Internet Egress from Los Angeles to Eastern Europe,346A-6168-5E91,Network,VPNInternetEgress,OnDemand,us-west2,
Compute Engine,6F81-5844-456A,Commitment v1: T2D AMD Cpu in Seoul for 1 Year,346C-BD9D-0D9B,Compute,CPU,Commit1Yr,asia-northeast3,T2D
Compute Engine,6F81-5844-456A,Network Internet Ingress from India to Osaka,3471-23DB-4923,Network,PremiumInternetIngress,OnDemand,asia-northeast2,
